index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
19327161.809694, 0, 2023-02-02 01:55:07, input/dist10, 0.008728, 0.001447, 0.004562, 0.000142, 25262.000000, 207.000000, 40401100409060517216256.000000, 0, 0
19327161.809694, 1, 2023-02-02 01:55:07, input/dist10, 0.009457, 0.004749, 0.002114, 0.002583, 11602.000000, 244.000000, 40401070203080517091328.000000, 0, 0
19327161.809694, 2, 2023-02-02 01:55:07, input/dist10, 0.009457, 0.004755, 0.002542, 0.002150, 15847.000000, 229.000000, 40401040906050795995136.000000, 0, 0
19327161.809694, 3, 2023-02-02 01:55:07, input/dist10, 0.009453, 0.004756, 0.003220, 0.001470, 19452.000000, 267.000000, 40401050807020313116672.000000, 0, 0
19466087.753604, 0, 2023-02-03 16:30:59, input/dist10, 0.008814, 0.001172, 0.005222, 0.000014, 47270.000000, 207.000000, 40401100409060517216256.000000, 0, 0
19466137.440857, 0, 2023-02-03 16:31:18, input/dist15, 9.498143, 0.000859, 9.495557, 0.000031, 96278391.000000, 255.000000, 404011004141509101290099568541696.000000, 0, 0
19466175.048559, 0, 2023-02-03 16:31:35, input/dist15, 9.330260, 0.003616, 6.994518, 2.330144, 69555088.000000, 255.000000, 404011004141509101290099568541696.000000, 0, 0
19466175.048559, 1, 2023-02-03 16:31:35, input/dist15, 9.334727, 0.010075, 9.324568, 0.000075, 93032834.000000, 310.000000, 404010712020308075487449143312384.000000, 0, 0
19466260.819266, 0, 2023-02-03 16:32:46, input/dist16, 50.696764, 0.001229, 50.692473, 0.000048, 400493939.000000, 255.000000, 40401100414150905805554314578493440.000000, 0, 0
19466223.810702, 0, 2023-02-03 16:33:32, input/dist16, 39.164934, 0.002573, 31.539105, 7.620266, 303335677.000000, 255.000000, 40401100414150905805554314578493440.000000, 0, 0
19466223.810702, 1, 2023-02-03 16:33:32, input/dist16, 39.166582, 0.007160, 39.159350, 0.000066, 373192436.000000, 310.000000, 40401071202160306862676493052411904.000000, 0, 0
19470733.787429, 0, 2023-02-03 17:47:59, input/dist17, 246.529228, 0.001347, 246.525405, 0.000031, 2136867634.000000, 278.000000, 4040110041415090488321711089301585920.000000, 0, 0
19471084.935078, 0, 2023-02-03 17:53:26, input/dist17, 317.805320, 0.003225, 182.882223, 134.916465, 1667296565.000000, 278.000000, 4040110041415090488321711089301585920.000000, 0, 0
19471084.935078, 1, 2023-02-03 17:53:26, input/dist17, 317.805416, 0.007355, 317.797953, 0.000098, 2855122065.000000, 310.000000, 4040117071202161111352345531026243584.000000, 0, 0
