index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
19326839.576474, 0, 2023-02-02 01:50:44, input/dist10, 0.011426, 0.001207, 0.006487, 0.000128, 25262.000000, 207.000000, 40401100409060517216256.000000, 0, 0
19326839.576474, 1, 2023-02-02 01:50:44, input/dist10, 0.005626, 0.000791, 0.002371, 0.002461, 11492.000000, 244.000000, 40401070203080517091328.000000, 0, 0
19326839.576474, 2, 2023-02-02 01:50:44, input/dist10, 0.012200, 0.005589, 0.004800, 0.001807, 15847.000000, 229.000000, 40401040906050795995136.000000, 0, 0
19326839.576474, 3, 2023-02-02 01:50:44, input/dist10, 0.008084, 0.001484, 0.005458, 0.001139, 19441.000000, 267.000000, 40401050807020313116672.000000, 0, 0
19326839.589789, 0, 2023-02-02 01:50:44, input/dist10, 0.003292, 0.000028, 0.001548, 0.000610, 7919.000000, 2147483647.000000, -1075366874874489869392936960.000000, 0, 0
19326839.589789, 1, 2023-02-02 01:50:44, input/dist10, 0.013231, 0.011073, 0.002132, 0.000023, 11192.000000, 206.000000, 40402070308050610159616.000000, 0, 0
19326839.589789, 2, 2023-02-02 01:50:44, input/dist10, 0.013226, 0.011067, 0.001919, 0.000236, 11413.000000, 241.000000, 40402080305060897619968.000000, 0, 0
19326839.589789, 3, 2023-02-02 01:50:44, input/dist10, 0.013229, 0.011071, 0.001904, 0.000251, 11408.000000, 254.000000, 40402050307080618770432.000000, 0, 0
19326839.601651, 0, 2023-02-02 01:50:44, input/dist10, 0.002547, 0.000022, 0.001066, 0.000376, 5537.000000, 2147483647.000000, -1075366874874489869392936960.000000, 0, 0
19326839.601651, 1, 2023-02-02 01:50:44, input/dist10, 0.011784, 0.010349, 0.001009, 0.000425, 5459.000000, 192.000000, 40403020708050601246720.000000, 0, 0
19326839.601651, 2, 2023-02-02 01:50:44, input/dist10, 0.011794, 0.010351, 0.000997, 0.000444, 5873.000000, 213.000000, 40403080702050607038464.000000, 0, 0
19326839.601651, 3, 2023-02-02 01:50:44, input/dist10, 0.011787, 0.010349, 0.001411, 0.000026, 8604.000000, 219.000000, 40403050802071004512256.000000, 0, 0
19326839.612867, 0, 2023-02-02 01:50:44, input/dist10, 0.002331, 0.000021, 0.001317, 0.000032, 7720.000000, 2147483647.000000, -1075366874874489869392936960.000000, 0, 0
19326839.612867, 1, 2023-02-02 01:50:44, input/dist10, 0.011156, 0.009809, 0.000470, 0.000876, 2761.000000, 2147483647.000000, 40403020708050601246720.000000, 0, 0
19326839.612867, 2, 2023-02-02 01:50:44, input/dist10, 0.011160, 0.009807, 0.000297, 0.001054, 1773.000000, 2147483647.000000, 40403080702050607038464.000000, 0, 0
19326839.612867, 3, 2023-02-02 01:50:44, input/dist10, 0.011156, 0.009808, 0.001046, 0.000300, 6892.000000, 2147483647.000000, 40403050802071004512256.000000, 0, 0
19326839.626448, 0, 2023-02-02 01:50:44, input/dist10, 0.004250, 0.000018, 0.000854, 0.001174, 5432.000000, 2147483647.000000, -1075366874874489869392936960.000000, 0, 0
19326839.626448, 1, 2023-02-02 01:50:44, input/dist10, 0.013528, 0.011501, 0.002001, 0.000025, 10679.000000, 235.000000, 40405070203080616706048.000000, 0, 0
19326839.626448, 2, 2023-02-02 01:50:44, input/dist10, 0.013525, 0.011499, 0.001903, 0.000121, 9818.000000, 220.000000, 40405080702030905868288.000000, 0, 0
19326839.626448, 3, 2023-02-02 01:50:44, input/dist10, 0.013527, 0.011501, 0.000618, 0.001407, 4017.000000, 2147483647.000000, 40403050802071004512256.000000, 0, 0
