index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
35193494.954198, 0, 2023-02-04 21:31:42, input/dist17, 29.970310, 0.002861, 22.490726, 7.473434, 181512923.000000, 508.000000, 4040102030405060718136829308416557056.000000, 0, 0
35193494.954198, 1, 2023-02-04 21:31:42, input/dist17, 29.975472, 0.011385, 12.871977, 17.092106, 102714395.000000, 560.000000, 4040102040305061098502702545808392192.000000, 0, 0
35193494.954198, 2, 2023-02-04 21:31:42, input/dist17, 29.967133, 0.002925, 21.774211, 8.189994, 171632012.000000, 645.000000, 4040102050304061169815455025460150272.000000, 0, 0
35193494.954198, 3, 2023-02-04 21:31:42, input/dist17, 29.975447, 0.011343, 17.998029, 11.966071, 144171450.000000, 289.000000, 4040110140415090159909770952280375296.000000, 0, 0
35193494.954198, 4, 2023-02-04 21:31:42, input/dist17, 29.975467, 0.011384, 18.061153, 11.902925, 145884492.000000, 301.000000, 4040110150414061306727815855355199488.000000, 0, 0
35193494.954198, 5, 2023-02-04 21:31:42, input/dist17, 29.975455, 0.011393, 24.252486, 5.711571, 196035088.000000, 322.000000, 4040110160203080762083959201874313216.000000, 0, 0
35193494.954198, 6, 2023-02-04 21:31:42, input/dist17, 29.967445, 0.003324, 17.631577, 12.332539, 140464203.000000, 292.000000, 4040110170414151096521990632665776128.000000, 0, 0
35193494.954198, 7, 2023-02-04 21:31:42, input/dist17, 29.968810, 0.004632, 22.469256, 7.494918, 179160940.000000, 644.000000, 4040102100304050706568369203887210496.000000, 0, 0
35193494.954198, 8, 2023-02-04 21:31:42, input/dist17, 29.965991, 0.001841, 11.544501, 18.419646, 90187972.000000, 2147483647.000000, -165556832957905577228658830609189401788416.000000, 0, 0
35193494.954198, 9, 2023-02-04 21:31:42, input/dist17, 29.965659, 0.001488, 16.642927, 13.321221, 130963472.000000, 478.000000, 4040102120304050771399369457938726912.000000, 0, 0
35193494.954198, 10, 2023-02-04 21:31:42, input/dist17, 29.965571, 0.001468, 26.210737, 3.753362, 208740833.000000, 480.000000, 4040102130304050803814869584964485120.000000, 0, 0
35193494.954198, 11, 2023-02-04 21:31:42, input/dist17, 29.965731, 0.001531, 18.066011, 11.898177, 145659026.000000, 2147483647.000000, 110032918142323944024493827230302860214272.000000, 0, 0
35193494.954198, 12, 2023-02-04 21:31:42, input/dist17, 29.965657, 0.001486, 13.570568, 16.393599, 104816180.000000, 2147483647.000000, -13714804905340906771500016669332508508160.000000, 0, 0
35193494.954198, 13, 2023-02-04 21:31:42, input/dist17, 29.965427, 0.001195, 13.854588, 16.109640, 111394806.000000, 335.000000, 4040102160308051926063981272949063680.000000, 0, 0
35193494.954198, 14, 2023-02-04 21:31:42, input/dist17, 29.970272, 0.006165, 29.963860, 0.000243, 224421749.000000, 491.000000, 4040102170304050933476870093067517952.000000, 0, 0
35193494.954198, 15, 2023-02-04 21:31:42, input/dist17, 29.973418, 0.009282, 19.252223, 10.711906, 157432231.000000, 314.000000, 4040115140406090779748225953740881920.000000, 0, 0
35193494.954198, 16, 2023-02-04 21:31:42, input/dist17, 29.948963, 0.002769, 24.128351, 5.817830, 179149866.000000, 2147483647.000000, 4040000000000000153670500680271396864.000000, 0, 0
35193494.954198, 17, 2023-02-04 21:31:42, input/dist17, 29.950641, 0.004362, 14.558450, 15.387825, 113832988.000000, 2147483647.000000, 18952426276969395122713329084328933588992.000000, 0, 0
35193494.954198, 18, 2023-02-04 21:31:42, input/dist17, 29.952127, 0.005825, 17.691676, 12.254623, 140664766.000000, 2147483647.000000, -54866933133084250217031636879141387632640.000000, 0, 0
35193494.954198, 19, 2023-02-04 21:31:42, input/dist17, 29.953114, 0.006823, 18.122504, 11.823783, 145757008.000000, 2147483647.000000, 58920885931953017597671315167517624762368.000000, 0, 0
35193494.954198, 20, 2023-02-04 21:31:42, input/dist17, 29.947632, 0.001417, 11.594756, 18.351456, 92398220.000000, 2147483647.000000, 108914981731610228908877812351759252717568.000000, 0, 0
35193494.954198, 21, 2023-02-04 21:31:42, input/dist17, 29.949377, 0.003131, 23.843074, 6.103169, 184276603.000000, 380.000000, 4040103090414151167884504687949381632.000000, 0, 0
35193494.954198, 22, 2023-02-04 21:31:42, input/dist17, 29.950358, 0.004119, 12.440528, 17.505707, 95454668.000000, 2147483647.000000, -63815754058236067449085767859340335644672.000000, 0, 0
35193494.954198, 23, 2023-02-04 21:31:42, input/dist17, 29.950216, 0.004004, 13.174872, 16.771336, 104718923.000000, 2147483647.000000, -65283565142851038875332037070877945233408.000000, 0, 0
35193494.954198, 24, 2023-02-04 21:31:42, input/dist17, 29.948370, 0.002108, 18.792172, 11.154086, 153965190.000000, 2147483647.000000, -35501767135474060491208163101284111482880.000000, 0, 0
35193494.954198, 25, 2023-02-04 21:31:42, input/dist17, 29.949296, 0.003013, 14.749547, 15.196732, 122056708.000000, 381.000000, 4040103130216081080155503666854363136.000000, 0, 0
35193494.954198, 26, 2023-02-04 21:31:42, input/dist17, 29.948715, 0.002487, 11.416604, 18.529620, 91986458.000000, 378.000000, 4040108020305061593505847028630945792.000000, 0, 0
35193494.954198, 27, 2023-02-04 21:31:42, input/dist17, 29.949005, 0.002761, 14.681680, 15.264561, 117291170.000000, 340.000000, 4040108030513110793986462603896946688.000000, 0, 0
35193494.954198, 28, 2023-02-04 21:31:42, input/dist17, 29.948023, 0.001874, 10.477771, 19.468375, 83005155.000000, 2147483647.000000, 197518090952104575458446770187026925879296.000000, 0, 0
35193494.954198, 29, 2023-02-04 21:31:42, input/dist17, 29.949032, 0.002778, 12.254568, 17.691683, 96822793.000000, 383.000000, 4040103170207121700007879740575711232.000000, 0, 0
35193494.954198, 30, 2023-02-04 21:31:42, input/dist17, 29.948760, 0.002544, 13.470660, 16.475553, 108835829.000000, 397.000000, 4040104020305061613813624109852000256.000000, 0, 0
35193494.954198, 31, 2023-02-04 21:31:42, input/dist17, 29.949804, 0.003579, 14.956755, 14.989466, 120959541.000000, 2147483647.000000, 106755779919797766309192000497241112444928.000000, 0, 0
35193494.954198, 32, 2023-02-04 21:31:42, input/dist17, 29.969060, 0.004785, 17.958678, 12.005581, 143783028.000000, 404.000000, 4040104050203061546509191947841699840.000000, 0, 0
35193494.954198, 33, 2023-02-04 21:31:42, input/dist17, 29.969247, 0.005002, 19.046230, 10.918008, 155110675.000000, 582.000000, 4040104060203050953600105618165727232.000000, 0, 0
35193494.954198, 34, 2023-02-04 21:31:42, input/dist17, 29.960068, 0.000840, 14.768029, 15.191195, 121211123.000000, 493.000000, 4040104070203050986015605745191485440.000000, 0, 0
35193494.954198, 35, 2023-02-04 21:31:42, input/dist17, 29.954578, 0.000699, 22.250389, 7.703485, 179446626.000000, 339.000000, 4040104080513110976371740320246792192.000000, 0, 0
35193494.954198, 36, 2023-02-04 21:31:42, input/dist17, 29.969253, 0.005000, 24.656544, 5.307703, 198663008.000000, 580.000000, 4040104090203051050846605999243001856.000000, 0, 0
35193494.954198, 37, 2023-02-04 21:31:42, input/dist17, 29.953081, 0.000662, 15.202920, 14.749496, 121172989.000000, 430.000000, 4040104100203050492966295767563108352.000000, 0, 0
