index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
35192870.923432, 0, 2023-02-04 21:22:23, input/dist17, 55.234951, 0.001412, 30.683144, 24.546472, 260186119.000000, 314.000000, 4040114150406090522092765171719077888.000000, 0, 0
35192870.923432, 1, 2023-02-04 21:22:23, input/dist17, 55.235723, 0.005652, 35.453565, 19.776499, 290349316.000000, 320.000000, 4040110120717021679710765769434333184.000000, 0, 0
35192870.923432, 2, 2023-02-04 21:22:23, input/dist17, 55.235775, 0.005650, 39.170158, 16.059955, 312039388.000000, 328.000000, 4040110130511061600934009907521257472.000000, 0, 0
35192870.923432, 3, 2023-02-04 21:22:23, input/dist17, 55.235367, 0.005655, 25.766834, 29.462870, 216993115.000000, 289.000000, 4040110140415090159909770952280375296.000000, 0, 0
35192870.923432, 4, 2023-02-04 21:22:23, input/dist17, 55.250253, 0.020557, 38.687625, 16.542060, 335645529.000000, 292.000000, 4040110151404061167675660071482687488.000000, 0, 0
35192870.923432, 5, 2023-02-04 21:22:23, input/dist17, 55.234271, 0.004260, 25.759771, 29.470232, 217455053.000000, 322.000000, 4040110160203080762083959201874313216.000000, 0, 0
35192870.923432, 6, 2023-02-04 21:22:23, input/dist17, 55.234981, 0.005198, 31.137834, 24.091939, 260142455.000000, 292.000000, 4040110170414151096521990632665776128.000000, 0, 0
35192870.923432, 7, 2023-02-04 21:22:23, input/dist17, 55.234571, 0.004929, 35.070009, 20.159625, 290203299.000000, 349.000000, 4040115060911131087484443449381355520.000000, 0, 0
35192870.923432, 8, 2023-02-04 21:22:23, input/dist17, 55.234697, 0.004869, 31.387991, 23.841830, 261269028.000000, 350.000000, 4040106151404090702773955087986327552.000000, 0, 0
35192870.923432, 9, 2023-02-04 21:22:23, input/dist17, 55.234418, 0.004888, 20.878252, 34.351271, 170627806.000000, 350.000000, 4040102120717160439841754227704594432.000000, 0, 0
35192870.923432, 10, 2023-02-04 21:22:23, input/dist17, 55.235042, 0.005371, 46.000484, 9.229181, 386512796.000000, 346.000000, 4040115090611131638286252802851209216.000000, 0, 0
