index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32576828.326217, 0, 2023-02-02 16:11:18, input/dist17, 25.974111, 0.000476, 22.445521, 0.001667, 181397602.000000, 636.000000, 4040102030405060718136829308416557056.000000, 0, 0
32576828.326217, 1, 2023-02-02 16:11:18, input/dist17, 25.970666, 0.000401, 11.003622, 0.001646, 86129427.000000, 2147483647.000000, 155142412754527027285334316016652852920320.000000, 0, 0
32576828.326217, 2, 2023-02-02 16:11:18, input/dist17, 25.970746, 0.000433, 20.982691, 0.001656, 164879192.000000, 2147483647.000000, 172279577899737332826026797601347994648576.000000, 0, 0
32576828.326217, 3, 2023-02-02 16:11:18, input/dist17, 25.971466, 0.000400, 11.392253, 0.001643, 90609843.000000, 289.000000, 4040110140415090159909770952280375296.000000, 0, 0
32576828.326217, 4, 2023-02-02 16:11:18, input/dist17, 25.970265, 0.000454, 21.437109, 0.001656, 158019745.000000, 556.000000, 4040102070304051199617679181515587584.000000, 0, 0
32576828.326217, 5, 2023-02-02 16:11:18, input/dist17, 25.970156, 0.000473, 22.205261, 0.001664, 179191169.000000, 452.000000, 4040102080304051232033179308541345792.000000, 0, 0
32576828.326217, 6, 2023-02-02 16:11:18, input/dist17, 25.974812, 0.000425, 18.303370, 0.001671, 144869018.000000, 311.000000, 4040110170207120188729743951674736640.000000, 0, 0
32576828.326217, 7, 2023-02-02 16:11:18, input/dist17, 25.970326, 0.000445, 23.019442, 0.001655, 180378486.000000, 2147483647.000000, -99430182385891111073442982535247033270272.000000, 0, 0
32576828.326217, 8, 2023-02-02 16:11:18, input/dist17, 25.969128, 0.000476, 16.494660, 0.001656, 132556888.000000, 686.000000, 4040102110304050738983869330912968704.000000, 0, 0
32576828.326217, 9, 2023-02-02 16:11:18, input/dist17, 25.968869, 0.000430, 17.359161, 0.001660, 136951874.000000, 558.000000, 4040102120304050771399369457938726912.000000, 0, 0
32576828.326217, 10, 2023-02-02 16:11:18, input/dist17, 25.968177, 0.000421, 18.380439, 0.001659, 144296777.000000, 557.000000, 4040102130304050803814869584964485120.000000, 0, 0
32576828.326217, 11, 2023-02-02 16:11:18, input/dist17, 25.966818, 0.000421, 21.327881, 0.001673, 169178541.000000, 2147483647.000000, 110032918142323944024493827230302860214272.000000, 0, 0
32576828.326217, 12, 2023-02-02 16:11:18, input/dist17, 25.966543, 0.000468, 17.088374, 0.001656, 135882668.000000, 2147483647.000000, -13714804905340906771500016669332508508160.000000, 0, 0
32576828.326217, 13, 2023-02-02 16:11:18, input/dist17, 25.968973, 0.000423, 13.822830, 0.001666, 111210669.000000, 335.000000, 4040102160308051926063981272949063680.000000, 0, 0
32576828.326217, 14, 2023-02-02 16:11:18, input/dist17, 25.968923, 0.000450, 17.252566, 0.001650, 137521010.000000, 2147483647.000000, 212673348045002806259625251797766894518272.000000, 0, 0
32576828.326217, 15, 2023-02-02 16:11:18, input/dist17, 25.968073, 0.000444, 19.633370, 0.001693, 160824785.000000, 2147483647.000000, 212635713033671739427041147433341314662400.000000, 0, 0
32576828.326217, 16, 2023-02-02 16:11:18, input/dist17, 25.957771, 0.000468, 9.506029, 0.001649, 74415564.000000, 2147483647.000000, 4040000000000000153670500680271396864.000000, 0, 0
32576828.326217, 17, 2023-02-02 16:11:18, input/dist17, 25.957605, 0.000436, 18.899754, 0.001627, 149843803.000000, 2147483647.000000, 18952426276969395122713329084328933588992.000000, 0, 0
32576828.326217, 18, 2023-02-02 16:11:18, input/dist17, 25.942299, 0.000431, 12.033427, 0.001647, 94817940.000000, 2147483647.000000, -54866933133084250217031636879141387632640.000000, 0, 0
32576828.326217, 19, 2023-02-02 16:11:18, input/dist17, 25.942263, 0.000487, 12.699281, 0.001629, 100743603.000000, 603.000000, 4040103070204051247343202842223575040.000000, 0, 0
32576828.326217, 20, 2023-02-02 16:11:18, input/dist17, 25.941070, 0.000429, 9.268475, 0.001638, 73414257.000000, 2147483647.000000, 108914981731610228908877812351759252717568.000000, 0, 0
32576828.326217, 21, 2023-02-02 16:11:18, input/dist17, 25.941024, 0.000436, 11.074032, 0.001645, 85128036.000000, 2147483647.000000, -132902162721847143540829587811176472903680.000000, 0, 0
32576828.326217, 22, 2023-02-02 16:11:18, input/dist17, 25.942227, 0.000444, 7.321262, 0.001649, 56649059.000000, 632.000000, 4040103100204050754293892864595197952.000000, 0, 0
32576828.326217, 23, 2023-02-02 16:11:18, input/dist17, 25.948581, 0.000439, 12.689159, 0.001638, 102248519.000000, 600.000000, 4040103110204050786709392991620956160.000000, 0, 0
32576828.326217, 24, 2023-02-02 16:11:18, input/dist17, 25.940477, 0.000509, 18.691592, 0.001649, 150057903.000000, 676.000000, 4040103120204050819124893118646714368.000000, 0, 0
32576828.326217, 25, 2023-02-02 16:11:18, input/dist17, 25.940360, 0.000392, 12.033094, 0.001648, 98685636.000000, 2147483647.000000, 12837306228642419371359287138274649309184.000000, 0, 0
32576828.326217, 26, 2023-02-02 16:11:18, input/dist17, 25.939849, 0.000453, 8.515203, 0.001646, 68252523.000000, 2147483647.000000, 118893278449392136697340415491852805865472.000000, 0, 0
32576828.326217, 27, 2023-02-02 16:11:18, input/dist17, 25.940120, 0.000459, 12.115252, 0.001650, 96303164.000000, 340.000000, 4040108030513110793986462603896946688.000000, 0, 0
32576828.326217, 28, 2023-02-02 16:11:18, input/dist17, 25.943621, 0.000486, 10.367065, 0.001644, 82159862.000000, 2147483647.000000, 197518090952104575458446770187026925879296.000000, 0, 0
32576828.326217, 29, 2023-02-02 16:11:18, input/dist17, 25.939463, 0.000425, 11.419525, 0.001648, 89742426.000000, 2147483647.000000, 105026887195462836567682345214777216729088.000000, 0, 0
32576828.326217, 30, 2023-02-02 16:11:18, input/dist17, 25.939932, 0.000429, 15.809602, 0.001639, 126068899.000000, 397.000000, 4040104020305061613813624109852000256.000000, 0, 0
32576828.326217, 31, 2023-02-02 16:11:18, input/dist17, 25.939640, 0.000429, 11.903593, 0.001684, 95788430.000000, 2147483647.000000, 106755779919797766309192000497241112444928.000000, 0, 0
32576828.326217, 32, 2023-02-02 16:11:18, input/dist17, 25.965273, 0.000488, 17.273874, 0.001690, 126217168.000000, 404.000000, 4040104050203061546509191947841699840.000000, 0, 0
32576828.326217, 33, 2023-02-02 16:11:18, input/dist17, 25.966036, 0.000457, 19.199177, 0.001669, 156604547.000000, 399.000000, 4040104060203051543895915976871378944.000000, 0, 0
32576828.326217, 34, 2023-02-02 16:11:18, input/dist17, 25.967979, 0.000426, 16.524012, 0.001685, 134616021.000000, 424.000000, 4040104070203050986015605745191485440.000000, 0, 0
32576828.326217, 35, 2023-02-02 16:11:18, input/dist17, 25.967958, 0.000470, 19.234369, 0.001664, 154720325.000000, 381.000000, 4040104080203051608726916230922895360.000000, 0, 0
32576828.326217, 36, 2023-02-02 16:11:18, input/dist17, 25.966129, 0.000459, 25.936783, 0.001683, 209546466.000000, 497.000000, 4040104090203051050846605999243001856.000000, 0, 0
32576828.326217, 37, 2023-02-02 16:11:18, input/dist17, 25.967980, 0.000462, 13.331657, 0.001686, 105504971.000000, 391.000000, 4040104100203051083262106126268760064.000000, 0, 0
32576828.326217, 38, 2023-02-02 16:11:18, input/dist17, 25.967989, 0.000420, 21.389565, 0.001694, 174626702.000000, 465.000000, 4040104110203050525381795894588866560.000000, 0, 0
32576828.326217, 39, 2023-02-02 16:11:18, input/dist17, 25.966134, 0.000420, 15.199181, 0.001679, 121120100.000000, 529.000000, 4040104120203050557797296021614624768.000000, 0, 0
32576828.326217, 40, 2023-02-02 16:11:18, input/dist17, 25.964583, 0.000489, 20.262795, 0.001688, 161988184.000000, 399.000000, 4040104130203051180508606507346034688.000000, 0, 0
32576828.326217, 41, 2023-02-02 16:11:18, input/dist17, 25.964852, 0.000435, 25.017686, 0.001697, 210448045.000000, 299.000000, 4040104141509061803876811410203738112.000000, 0, 0
32576828.326217, 42, 2023-02-02 16:11:18, input/dist17, 25.965069, 0.000436, 20.247202, 0.001693, 167936277.000000, 464.000000, 4040104150203050655043796402691899392.000000, 0, 0
32576828.326217, 43, 2023-02-02 16:11:18, input/dist17, 25.964487, 0.000431, 18.536103, 0.001705, 149180152.000000, 357.000000, 4040104160203080792545624823705894912.000000, 0, 0
32576828.326217, 44, 2023-02-02 16:11:18, input/dist17, 25.965113, 0.000424, 22.770096, 0.001690, 182415796.000000, 359.000000, 4040104170203120374780418984010317824.000000, 0, 0
32576828.326217, 45, 2023-02-02 16:11:18, input/dist17, 25.964159, 0.000420, 16.127172, 0.001701, 127842945.000000, 2147483647.000000, -83193095979971353057828324770550464380928.000000, 0, 0
32576828.326217, 46, 2023-02-02 16:11:18, input/dist17, 25.964187, 0.000434, 19.737846, 0.001684, 157508972.000000, 2147483647.000000, -182258205898883162127966051541404212002816.000000, 0, 0
32576828.326217, 47, 2023-02-02 16:11:18, input/dist17, 25.961833, 0.000435, 13.980201, 0.001727, 111733483.000000, 2147483647.000000, 105448268719649823140144588263466737860608.000000, 0, 0
32576828.326217, 48, 2023-02-02 16:11:18, input/dist17, 25.977603, 0.000291, 13.639084, 0.001680, 98791783.000000, 664.000000, 4040105060203041208642290429217210368.000000, 0, 0
32576828.326217, 49, 2023-02-02 16:11:18, input/dist17, 25.977190, 0.000270, 11.694859, 0.001652, 92999953.000000, 2147483647.000000, -165238260508362317601399817961570884911104.000000, 0, 0
32576828.326217, 50, 2023-02-02 16:11:18, input/dist17, 25.977355, 0.000284, 9.222781, 0.001679, 72692387.000000, 385.000000, 4040105080203061933826653237966536704.000000, 0, 0
32576828.326217, 51, 2023-02-02 16:11:18, input/dist17, 25.970522, 0.000282, 14.673026, 0.001654, 114312861.000000, 630.000000, 4040105090203041305888790810294484992.000000, 0, 0
32576828.326217, 52, 2023-02-02 16:11:18, input/dist17, 25.977188, 0.000272, 12.328987, 0.001666, 97787863.000000, 603.000000, 4040105100203040748008480578614591488.000000, 0, 0
32576828.326217, 53, 2023-02-02 16:11:18, input/dist17, 25.977584, 0.000285, 18.903853, 0.001676, 150014013.000000, 2147483647.000000, 166001898360595603666542299129864899264512.000000, 0, 0
32576828.326217, 54, 2023-02-02 16:11:18, input/dist17, 25.977223, 0.000276, 23.807578, 0.001680, 196323156.000000, 2147483647.000000, -87091178771094475195958091150687960301568.000000, 0, 0
32576828.326217, 55, 2023-02-02 16:11:18, input/dist17, 25.977568, 0.000259, 15.101958, 0.001666, 118149422.000000, 2147483647.000000, 813987096211047598643516928256768999424.000000, 0, 0
32576828.326217, 56, 2023-02-02 16:11:18, input/dist17, 25.974935, 0.000291, 16.297510, 0.001686, 129638385.000000, 607.000000, 4040105140203040877670481086717624320.000000, 0, 0
32576828.326217, 57, 2023-02-02 16:11:18, input/dist17, 25.971322, 0.000273, 9.887486, 0.001687, 77464046.000000, 2147483647.000000, -4047681887356665217893221422330747551744.000000, 0, 0
32576828.326217, 58, 2023-02-02 16:11:18, input/dist17, 25.968894, 0.000255, 17.374708, 0.001680, 137950718.000000, 278.000000, 4040110041415090488321711089301585920.000000, 0, 0
32576828.326217, 59, 2023-02-02 16:11:18, input/dist17, 25.974515, 0.000274, 15.521862, 0.001682, 116289363.000000, 2147483647.000000, 137796088731013581158153690014493408493568.000000, 0, 0
32576828.326217, 60, 2023-02-02 16:11:18, input/dist17, 25.974242, 0.000269, 10.982593, 0.001678, 84298146.000000, 323.000000, 4040110060414151330247299594088087552.000000, 0, 0
32576828.326217, 61, 2023-02-02 16:11:18, input/dist17, 25.973545, 0.000275, 15.020041, 0.001681, 119817415.000000, 2147483647.000000, 25607416924250484921809306673000673705984.000000, 0, 0
32576828.326217, 62, 2023-02-02 16:11:18, input/dist17, 25.975416, 0.000274, 11.622844, 0.001670, 91179405.000000, 315.000000, 4040110080513110945910074698415210496.000000, 0, 0
32576828.326217, 63, 2023-02-02 16:11:18, input/dist17, 25.974849, 0.000262, 15.212459, 0.001710, 118141799.000000, 388.000000, 4040106050203120565936339277796343808.000000, 0, 0
32576943.738427, 0, 2023-02-02 16:12:06, input/dist17, 30.018246, 0.000643, 23.273250, 0.001213, 186270747.000000, 2147483647.000000, -193727495330124847871699596760249249300480.000000, 0, 1
32576943.738427, 1, 2023-02-02 16:12:06, input/dist17, 30.013209, 0.000580, 13.881229, 0.000943, 110721769.000000, 2147483647.000000, 155142412754527027285334316016652852920320.000000, 0, 1
32576943.738427, 2, 2023-02-02 16:12:06, input/dist17, 30.012345, 0.000610, 21.780906, 0.000912, 170825328.000000, 2147483647.000000, 172279577899737332826026797601347994648576.000000, 0, 1
32576943.738427, 3, 2023-02-02 16:12:06, input/dist17, 30.012120, 0.000641, 14.081380, 0.000914, 110982519.000000, 289.000000, 4040110140415090159909770952280375296.000000, 0, 1
32576943.738427, 4, 2023-02-02 16:12:06, input/dist17, 30.012868, 0.000589, 19.347633, 0.000911, 156511508.000000, 2147483647.000000, -68818125502829053329119439615985945935872.000000, 0, 1
32576943.738427, 5, 2023-02-02 16:12:06, input/dist17, 30.011354, 0.000586, 22.375254, 0.000940, 178759619.000000, 2147483647.000000, -118488662406960585931208087139762369986560.000000, 0, 1
32576943.738427, 6, 2023-02-02 16:12:06, input/dist17, 30.011745, 0.000592, 16.372524, 0.000901, 128298732.000000, 306.000000, 4040110170216071434398023364177297408.000000, 0, 1
32576943.738427, 7, 2023-02-02 16:12:06, input/dist17, 30.012284, 0.000579, 22.572362, 0.000940, 178610684.000000, 2147483647.000000, -99430182385891111073442982535247033270272.000000, 0, 1
32576943.738427, 8, 2023-02-02 16:12:06, input/dist17, 30.011944, 0.000644, 14.428849, 0.000950, 113898886.000000, 2147483647.000000, -165556832957905577228658830609189401788416.000000, 0, 1
32576943.738427, 9, 2023-02-02 16:12:06, input/dist17, 30.011623, 0.000622, 16.433142, 0.000985, 127390066.000000, 566.000000, 4040102120304050771399369457938726912.000000, 0, 1
32576943.738427, 10, 2023-02-02 16:12:06, input/dist17, 30.011138, 0.000632, 19.046816, 0.000907, 149457453.000000, 566.000000, 4040102130304050803814869584964485120.000000, 0, 1
32576943.738427, 11, 2023-02-02 16:12:06, input/dist17, 30.010970, 0.000584, 23.345792, 0.000940, 191061777.000000, 2147483647.000000, 110032918142323944024493827230302860214272.000000, 0, 1
32576943.738427, 12, 2023-02-02 16:12:06, input/dist17, 30.010998, 0.000619, 13.221663, 0.000908, 103800230.000000, 2147483647.000000, -13714804905340906771500016669332508508160.000000, 0, 1
32576943.738427, 13, 2023-02-02 16:12:06, input/dist17, 30.012542, 0.000603, 13.906833, 0.000982, 111210665.000000, 335.000000, 4040102160308051926063981272949063680.000000, 0, 1
32576943.738427, 14, 2023-02-02 16:12:06, input/dist17, 30.011954, 0.000641, 30.002630, 0.000917, 240307731.000000, 585.000000, 4040102170304050933476870093067517952.000000, 0, 1
32576943.738427, 15, 2023-02-02 16:12:06, input/dist17, 30.012702, 0.000495, 19.929084, 0.000975, 161610160.000000, 2147483647.000000, 212635713033671739427041147433341314662400.000000, 0, 1
32576943.738427, 16, 2023-02-02 16:12:06, input/dist17, 30.054070, 0.000666, 10.707793, 0.000851, 83609970.000000, 671.000000, 4040103040205061146228226206516379648.000000, 0, 1
32576943.738427, 17, 2023-02-02 16:12:06, input/dist17, 30.040631, 0.000614, 18.246588, 0.000815, 143490888.000000, 2147483647.000000, 18952426276969395122713329084328933588992.000000, 0, 1
32576943.738427, 18, 2023-02-02 16:12:06, input/dist17, 30.054202, 0.000665, 12.513187, 0.000859, 98310919.000000, 2147483647.000000, -54866933133084250217031636879141387632640.000000, 0, 1
32576943.738427, 19, 2023-02-02 16:12:06, input/dist17, 30.040477, 0.000645, 13.610970, 0.000816, 107719860.000000, 511.000000, 4040103070204051247343202842223575040.000000, 0, 1
32576943.738427, 20, 2023-02-02 16:12:06, input/dist17, 30.040635, 0.000665, 9.942051, 0.000844, 78618048.000000, 2147483647.000000, 108914981731610228908877812351759252717568.000000, 0, 1
32576943.738427, 21, 2023-02-02 16:12:06, input/dist17, 30.040469, 0.000649, 11.758745, 0.000795, 90714968.000000, 2147483647.000000, -132902162721847143540829587811176472903680.000000, 0, 1
32576943.738427, 22, 2023-02-02 16:12:06, input/dist17, 30.040114, 0.000626, 16.438304, 0.000797, 129599369.000000, 2147483647.000000, -63815754058236067449085767859340335644672.000000, 0, 1
32576943.738427, 23, 2023-02-02 16:12:06, input/dist17, 30.040684, 0.000649, 14.502041, 0.000845, 100480933.000000, 2147483647.000000, -65283565142851038875332037070877945233408.000000, 0, 1
32576943.738427, 24, 2023-02-02 16:12:06, input/dist17, 30.042951, 0.000667, 18.815374, 0.000842, 151893485.000000, 666.000000, 4040103120204050819124893118646714368.000000, 0, 1
