index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32683056.560440, 0, 2023-02-03 21:44:56, input/dist5, 0.007521, 0.001326, 0.001339, 0.002100, 4.000000, 115.000000, 4040104050203.000000, 0, 0
32683056.560440, 1, 2023-02-03 21:44:56, input/dist5, 0.007428, 0.004014, 0.002751, 0.000659, 4.000000, 118.000000, 4040104050302.000000, 0, 0
32683056.560440, 2, 2023-02-03 21:44:56, input/dist5, 0.007807, 0.004393, 0.002656, 0.000754, 4.000000, 202.000000, 4040102040305.000000, 0, 0
32683056.560440, 3, 2023-02-03 21:44:56, input/dist5, 0.007796, 0.004406, 0.001378, 0.002008, 3.000000, 169.000000, 4040102040503.000000, 0, 0
32683056.560440, 4, 2023-02-03 21:44:56, input/dist5, 0.007825, 0.004421, 0.002651, 0.000749, 4.000000, 181.000000, 4040102050304.000000, 0, 0
32683056.560440, 5, 2023-02-03 21:44:56, input/dist5, 0.007816, 0.004431, 0.001539, 0.001841, 3.000000, 179.000000, 4040102050403.000000, 0, 0
32683056.560440, 6, 2023-02-03 21:44:56, input/dist5, 0.006856, 0.003427, 0.002603, 0.000822, 4.000000, 188.000000, 4040103020405.000000, 0, 0
32683056.560440, 7, 2023-02-03 21:44:56, input/dist5, 0.007806, 0.004386, 0.001507, 0.001910, 3.000000, 167.000000, 4040103020504.000000, 0, 0
32683056.560440, 8, 2023-02-03 21:44:56, input/dist5, 0.007004, 0.003599, 0.001223, 0.002179, 2.000000, 221.000000, 4040103040205.000000, 0, 0
32683056.560440, 9, 2023-02-03 21:44:56, input/dist5, 0.006384, 0.003033, 0.001423, 0.001924, 2.000000, 201.000000, 4040103040502.000000, 0, 0
32683056.560440, 10, 2023-02-03 21:44:56, input/dist5, 0.006987, 0.003624, 0.002676, 0.000683, 2.000000, 190.000000, 4040103050204.000000, 0, 0
32683056.560440, 11, 2023-02-03 21:44:56, input/dist5, 0.006245, 0.002891, 0.002581, 0.000770, 2.000000, 2147483647.000000, -189642697038431936.000000, 0, 0
32683056.560440, 12, 2023-02-03 21:44:56, input/dist5, 0.006097, 0.002738, 0.002069, 0.001286, 2.000000, 138.000000, 4040104020305.000000, 0, 0
32683056.560440, 13, 2023-02-03 21:44:56, input/dist5, 0.007174, 0.003782, 0.002141, 0.001246, 2.000000, 138.000000, 4040104020503.000000, 0, 0
32683056.560440, 14, 2023-02-03 21:44:56, input/dist5, 0.006068, 0.002665, 0.002634, 0.000766, 2.000000, 148.000000, 4040104030205.000000, 0, 0
32683056.560440, 15, 2023-02-03 21:44:56, input/dist5, 0.006272, 0.002893, 0.002639, 0.000736, 2.000000, 151.000000, 4040104030502.000000, 0, 0
32683130.418768, 0, 2023-02-03 21:45:04, input/dist15, 2.035092, 0.001372, 0.585003, 1.446333, 4725203.000000, 305.000000, 404100102031207108374050430255104.000000, 0, 0
32683130.418768, 1, 2023-02-03 21:45:04, input/dist15, 2.038147, 0.006869, 0.807287, 1.223987, 6429920.000000, 310.000000, 404100103021207041379488684310528.000000, 0, 0
32683130.418768, 2, 2023-02-03 21:45:04, input/dist15, 2.034722, 0.003439, 1.360576, 0.670703, 3837154.000000, 237.000000, 404100104141509081971682214674432.000000, 0, 0
32683130.418768, 3, 2023-02-03 21:45:04, input/dist15, 2.038873, 0.007581, 0.485197, 1.546091, 3867894.000000, 299.000000, 404100105031311129027530725523456.000000, 0, 0
32683130.418768, 4, 2023-02-03 21:45:04, input/dist15, 2.038867, 0.007575, 0.576430, 1.454859, 4622386.000000, 283.000000, 404100106041415130769550873722880.000000, 0, 0
32683130.418768, 5, 2023-02-03 21:45:04, input/dist15, 2.038599, 0.007301, 0.659820, 1.371475, 5726137.000000, 321.000000, 404100107020305151868627360677888.000000, 0, 0
32683130.418768, 6, 2023-02-03 21:45:04, input/dist15, 2.035384, 0.004103, 0.386062, 1.645216, 3070863.000000, 280.000000, 404100108041415086408812545966080.000000, 0, 0
32683130.418768, 7, 2023-02-03 21:45:04, input/dist15, 2.038864, 0.007577, 0.587419, 1.443865, 4726778.000000, 292.000000, 404100109041415100257240401051648.000000, 0, 0
32683130.418768, 8, 2023-02-03 21:45:04, input/dist15, 2.038540, 0.007241, 0.721397, 1.309898, 5765641.000000, 345.000000, 404100111020305135204744743092224.000000, 0, 0
32683130.418768, 9, 2023-02-03 21:45:04, input/dist15, 2.038147, 0.006871, 0.474168, 1.557104, 3751461.000000, 295.000000, 404100112070203159426992707731456.000000, 0, 0
32683130.418768, 10, 2023-02-03 21:45:04, input/dist15, 2.034709, 0.003406, 0.586412, 1.444888, 4400081.000000, 306.000000, 404100113030511184348350452334592.000000, 0, 0
32683130.418768, 11, 2023-02-03 21:45:04, input/dist15, 2.037231, 0.005937, 0.375475, 1.655815, 3163992.000000, 249.000000, 404100114041509132602005134508032.000000, 0, 0
32683130.418768, 12, 2023-02-03 21:45:04, input/dist15, 2.036397, 0.005091, 0.424096, 1.607206, 3508769.000000, 252.000000, 404100115140406032539667943915520.000000, 0, 0
32683130.418768, 13, 2023-02-03 21:45:04, input/dist15, 2.037986, 0.006700, 1.481009, 0.550274, 12609350.000000, 485.000000, 404100201030405109252479225167872.000000, 0, 0
32683130.418768, 14, 2023-02-03 21:45:04, input/dist15, 2.036975, 0.005674, 1.080428, 0.950870, 9040639.000000, 318.000000, 404100203080513123152181566898176.000000, 0, 0
32683130.418768, 15, 2023-02-03 21:45:04, input/dist15, 2.035187, 0.003894, 2.031164, 0.000126, 18236135.000000, 591.000000, 404100204010305045228852982317056.000000, 0, 0
32689669.480016, 0, 2023-02-03 22:04:47, input/dist5, 0.006007, 0.001022, 0.001816, 0.000737, 11.000000, 148.000000, 4040102030504.000000, 0, 0
32689669.480016, 1, 2023-02-03 22:04:47, input/dist5, 0.006613, 0.004061, 0.001138, 0.001412, 10.000000, 167.000000, 4040103020504.000000, 0, 0
32689669.480016, 2, 2023-02-03 22:04:47, input/dist5, 0.006636, 0.004072, 0.001858, 0.000693, 12.000000, 115.000000, 4040104050203.000000, 0, 0
32689669.480016, 3, 2023-02-03 22:04:47, input/dist5, 0.006602, 0.004050, 0.001859, 0.000690, 12.000000, 161.000000, 4040105030204.000000, 0, 0
32689611.480839, 0, 2023-02-03 22:04:56, input/dist15, 5.118790, 0.001085, 3.214696, 1.899229, 11111178.000000, 237.000000, 404100104141509081971682214674432.000000, 0, 0
32689611.480839, 1, 2023-02-03 22:04:56, input/dist15, 5.119500, 0.005567, 5.113831, 0.000099, 36877046.000000, 297.000000, 404101514010406052902486761537536.000000, 0, 0
32689611.480839, 2, 2023-02-03 22:04:56, input/dist15, 5.119499, 0.005555, 2.527709, 2.586230, 24567053.000000, 295.000000, 404100712020308053790332804923392.000000, 0, 0
32689611.480839, 3, 2023-02-03 22:04:56, input/dist15, 5.119488, 0.005556, 3.651885, 1.462043, 17862213.000000, 283.000000, 404100401141509087671895013195776.000000, 0, 0
32683122.708705, 0, 2023-02-03 21:46:06, input/dist17, 57.235960, 0.001194, 43.276390, 13.955215, 210419183.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32683122.708705, 1, 2023-02-03 21:46:06, input/dist17, 57.237734, 0.006203, 42.482727, 14.748800, 278505163.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32683122.708705, 2, 2023-02-03 21:46:06, input/dist17, 57.236433, 0.004695, 16.814359, 40.417374, 112747309.000000, 332.000000, 4041003160208052126906144528565010432.000000, 0, 0
32683122.708705, 3, 2023-02-03 21:46:06, input/dist17, 57.237776, 0.006181, 44.117382, 13.114208, 299628546.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32683122.708705, 4, 2023-02-03 21:46:06, input/dist17, 57.236783, 0.005097, 41.910873, 15.320810, 277792621.000000, 327.000000, 4041005131106091467045248145641439232.000000, 0, 0
32683122.708705, 5, 2023-02-03 21:46:06, input/dist17, 57.236598, 0.004970, 45.167345, 12.064279, 291435498.000000, 399.000000, 4041006010216030949059333615909863424.000000, 0, 0
32683122.708705, 6, 2023-02-03 21:46:06, input/dist17, 57.238100, 0.006197, 57.231788, 0.000110, 398960685.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
