index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32689539.784327, 0, 2023-02-03 22:03:06, input/dist5, 0.003244, 0.000758, 0.000003, 0.000395, 11.000000, 148.000000, 4040102030504.000000, 0, 0
32689539.784327, 1, 2023-02-03 22:03:06, input/dist5, 0.003625, 0.003227, 0.000003, 0.000391, 10.000000, 167.000000, 4040103020504.000000, 0, 0
32689539.784327, 2, 2023-02-03 22:03:06, input/dist5, 0.003618, 0.003220, 0.000003, 0.000391, 12.000000, 115.000000, 4040104050203.000000, 0, 0
32689539.784327, 3, 2023-02-03 22:03:06, input/dist5, 0.003625, 0.003226, 0.000003, 0.000392, 13.000000, 159.000000, 4040105040203.000000, 0, 0
32683133.378953, 0, 2023-02-03 21:43:45, input/dist5, 0.005751, 0.001175, 0.000012, 0.002217, 4.000000, 115.000000, 4040104050203.000000, 0, 0
32683133.378953, 1, 2023-02-03 21:43:45, input/dist5, 0.006298, 0.004118, 0.000009, 0.002164, 4.000000, 118.000000, 4040104050302.000000, 0, 0
32683133.378953, 2, 2023-02-03 21:43:45, input/dist5, 0.005602, 0.003426, 0.000010, 0.002160, 4.000000, 171.000000, 4040105020304.000000, 0, 0
32683133.378953, 3, 2023-02-03 21:43:45, input/dist5, 0.005201, 0.003024, 0.000010, 0.002160, 3.000000, 169.000000, 4040102040503.000000, 0, 0
32683133.378953, 4, 2023-02-03 21:43:45, input/dist5, 0.006089, 0.003892, 0.000010, 0.002181, 4.000000, 161.000000, 4040105030204.000000, 0, 0
32683133.378953, 5, 2023-02-03 21:43:45, input/dist5, 0.007790, 0.005575, 0.000009, 0.002194, 3.000000, 179.000000, 4040102050403.000000, 0, 0
32683133.378953, 6, 2023-02-03 21:43:45, input/dist5, 0.006102, 0.003915, 0.000010, 0.002169, 4.000000, 159.000000, 4040105040203.000000, 0, 0
32683133.378953, 7, 2023-02-03 21:43:45, input/dist5, 0.007788, 0.005589, 0.000009, 0.002180, 3.000000, 167.000000, 4040103020504.000000, 0, 0
32683133.378953, 8, 2023-02-03 21:43:45, input/dist5, 0.007791, 0.005589, 0.000010, 0.002183, 2.000000, 221.000000, 4040103040205.000000, 0, 0
32683133.378953, 9, 2023-02-03 21:43:45, input/dist5, 0.005649, 0.003452, 0.000009, 0.002181, 2.000000, 201.000000, 4040103040502.000000, 0, 0
32683133.378953, 10, 2023-02-03 21:43:45, input/dist5, 0.005080, 0.002883, 0.000009, 0.002181, 2.000000, 190.000000, 4040103050204.000000, 0, 0
32683133.378953, 11, 2023-02-03 21:43:45, input/dist5, 0.007785, 0.005594, 0.000009, 0.002172, 2.000000, 191.000000, 4040103050402.000000, 0, 0
32683133.378953, 12, 2023-02-03 21:43:45, input/dist5, 0.004715, 0.002540, 0.000009, 0.002159, 2.000000, 138.000000, 4040104020305.000000, 0, 0
32683133.378953, 13, 2023-02-03 21:43:45, input/dist5, 0.005643, 0.003437, 0.000009, 0.002190, 2.000000, 138.000000, 4040104020503.000000, 0, 0
32683133.378953, 14, 2023-02-03 21:43:45, input/dist5, 0.005638, 0.003449, 0.000009, 0.002174, 2.000000, 148.000000, 4040104030205.000000, 0, 0
32683133.378953, 15, 2023-02-03 21:43:45, input/dist5, 0.004858, 0.002682, 0.000009, 0.002160, 2.000000, 151.000000, 4040104030502.000000, 0, 0
32689594.505007, 0, 2023-02-03 22:03:14, input/dist15, 4.147719, 0.000625, 1.164031, 2.981679, 11111221.000000, 237.000000, 404100104141509081971682214674432.000000, 0, 0
32689594.505007, 1, 2023-02-03 22:03:14, input/dist15, 4.148015, 0.002313, 4.145270, 0.000429, 37590499.000000, 297.000000, 404101514010406052902486761537536.000000, 0, 0
32689594.505007, 2, 2023-02-03 22:03:14, input/dist15, 4.148016, 0.002318, 2.620883, 1.524809, 24659655.000000, 295.000000, 404100712020308053790332804923392.000000, 0, 0
32689594.505007, 3, 2023-02-03 22:03:14, input/dist15, 4.148022, 0.002318, 1.938404, 2.207295, 17862213.000000, 283.000000, 404100401141509087671895013195776.000000, 0, 0
32682940.730939, 0, 2023-02-03 21:43:52, input/dist15, 2.353096, 0.002878, 0.772536, 1.575065, 6427754.000000, 290.000000, 404100102071203108290366558699520.000000, 0, 0
32682940.730939, 1, 2023-02-03 21:43:52, input/dist15, 2.353441, 0.005865, 0.837907, 1.509658, 7051230.000000, 300.000000, 404100103120702077556832478429184.000000, 0, 0
32682940.730939, 2, 2023-02-03 21:43:52, input/dist15, 2.353382, 0.005809, 0.570294, 1.777272, 4937201.000000, 237.000000, 404100104141509081971682214674432.000000, 0, 0
32682940.730939, 3, 2023-02-03 21:43:52, input/dist15, 2.353403, 0.005827, 0.706272, 1.641296, 5917833.000000, 282.000000, 404100105131106068911260375711744.000000, 0, 0
32682940.730939, 4, 2023-02-03 21:43:52, input/dist15, 2.353435, 0.005857, 0.595779, 1.751789, 4767872.000000, 283.000000, 404100106041415130769550873722880.000000, 0, 0
32682940.730939, 5, 2023-02-03 21:43:52, input/dist15, 2.353390, 0.005806, 0.775878, 1.571699, 6851484.000000, 286.000000, 404100107120203206169425285742592.000000, 0, 0
32682940.730939, 6, 2023-02-03 21:43:52, input/dist15, 2.353407, 0.005845, 0.384103, 1.963452, 3074530.000000, 280.000000, 404100108041415086408812545966080.000000, 0, 0
32682940.730939, 7, 2023-02-03 21:43:52, input/dist15, 2.353366, 0.005777, 0.665464, 1.682118, 5570254.000000, 283.000000, 404100401141509087671895013195776.000000, 0, 0
32682940.730939, 8, 2023-02-03 21:43:52, input/dist15, 2.353419, 0.005825, 0.875792, 1.471794, 7576520.000000, 290.000000, 404100111060915137879858055479296.000000, 0, 0
32682940.730939, 9, 2023-02-03 21:43:52, input/dist15, 2.352988, 0.005394, 0.485567, 1.862020, 4043515.000000, 295.000000, 404100112070203159426992707731456.000000, 0, 0
32682940.730939, 10, 2023-02-03 21:43:52, input/dist15, 2.353199, 0.005597, 0.648533, 1.699062, 4598832.000000, 289.000000, 404100113051106109415518711578624.000000, 0, 0
32682940.730939, 11, 2023-02-03 21:43:52, input/dist15, 2.353272, 0.005712, 0.407979, 1.939573, 3617382.000000, 249.000000, 404100114041509132602005134508032.000000, 0, 0
32682940.730939, 12, 2023-02-03 21:43:52, input/dist15, 2.353373, 0.005797, 0.450213, 1.897356, 4064078.000000, 252.000000, 404100115140406032539667943915520.000000, 0, 0
32682940.730939, 13, 2023-02-03 21:43:52, input/dist15, 2.353411, 0.005817, 1.647238, 0.700349, 14932834.000000, 318.000000, 404100803120702043681135918055424.000000, 0, 0
