index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32661318.578781, 0, 2023-02-03 15:37:56, input/dist17, 42.396889, 0.001561, 42.391986, 0.000112, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661355.343119, 0, 2023-02-03 15:39:21, input/dist17, 92.144439, 0.000583, 33.846824, 58.295005, 213398797.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661355.343119, 1, 2023-02-03 15:39:21, input/dist17, 92.144181, 0.002260, 55.317820, 36.824096, 349488045.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32661355.343119, 2, 2023-02-03 15:39:21, input/dist17, 92.144843, 0.002736, 31.171454, 60.970648, 183832198.000000, 326.000000, 4041012071702161025841366822394265600.000000, 0, 0
32661355.343119, 3, 2023-02-03 15:39:21, input/dist17, 92.144958, 0.002898, 46.122918, 46.019138, 357968137.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32661355.343119, 4, 2023-02-03 15:39:21, input/dist17, 92.144927, 0.002844, 92.141852, 0.000228, 576097431.000000, 312.000000, 4041014150401170559630064955020017664.000000, 0, 0
32661355.343119, 5, 2023-02-03 15:39:21, input/dist17, 92.144773, 0.002855, 85.667447, 6.474467, 550921453.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661355.343119, 6, 2023-02-03 15:39:21, input/dist17, 92.144604, 0.002844, 79.945522, 12.196233, 575698767.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661355.343119, 7, 2023-02-03 15:39:21, input/dist17, 92.144689, 0.002843, 50.021584, 42.120258, 332599795.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661469.560451, 0, 2023-02-03 15:39:31, input/dist17, 45.824854, 0.000659, 45.821801, 0.000065, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661382.010502, 0, 2023-02-03 15:39:40, input/dist17, 97.342061, 0.000585, 38.723045, 58.615591, 234863492.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661382.010502, 1, 2023-02-03 15:39:40, input/dist17, 97.345895, 0.007352, 95.825439, 1.513099, 671912911.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661382.010502, 2, 2023-02-03 15:39:40, input/dist17, 97.346432, 0.007345, 97.338827, 0.000254, 635390516.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661382.010502, 3, 2023-02-03 15:39:40, input/dist17, 97.345942, 0.007351, 88.991532, 8.347053, 574793135.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661541.506833, 0, 2023-02-03 15:40:51, input/dist17, 130.277576, 0.001732, 31.820588, 98.452930, 249242730.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661541.506833, 1, 2023-02-03 15:40:51, input/dist17, 130.277777, 0.004374, 130.272890, 0.000508, 992533582.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661516.258400, 0, 2023-02-03 15:41:03, input/dist17, 42.278467, 0.001221, 42.274280, 0.000599, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661620.505427, 0, 2023-02-03 15:42:24, input/dist17, 97.669544, 0.001013, 53.407148, 44.258509, 213398802.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661620.505427, 1, 2023-02-03 15:42:24, input/dist17, 97.669588, 0.004224, 76.870288, 20.795069, 349361828.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32661620.505427, 2, 2023-02-03 15:42:24, input/dist17, 97.669624, 0.004236, 48.082535, 49.582849, 180269272.000000, 331.000000, 4041012071701041824984926716478619648.000000, 0, 0
32661620.505427, 3, 2023-02-03 15:42:24, input/dist17, 97.669619, 0.004224, 71.819811, 25.845570, 357968650.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32661620.505427, 4, 2023-02-03 15:42:24, input/dist17, 97.669663, 0.004180, 97.665131, 0.000348, 571203094.000000, 312.000000, 4041014150401170559630064955020017664.000000, 0, 0
32661620.505427, 5, 2023-02-03 15:42:24, input/dist17, 97.669816, 0.004180, 89.134980, 8.530652, 557486316.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661620.505427, 6, 2023-02-03 15:42:24, input/dist17, 97.669756, 0.004180, 74.304717, 23.360854, 587526509.000000, 325.000000, 4041007120216170315216230218068918272.000000, 0, 0
32661620.505427, 7, 2023-02-03 15:42:24, input/dist17, 97.669567, 0.004180, 73.293336, 24.372046, 332598950.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661534.314488, 0, 2023-02-03 15:42:35, input/dist17, 42.411353, 0.001342, 42.407388, 0.000065, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661647.177894, 0, 2023-02-03 15:42:58, input/dist17, 103.565371, 0.000952, 61.509246, 42.052591, 234863492.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661647.177894, 1, 2023-02-03 15:42:58, input/dist17, 103.564942, 0.003151, 100.823847, 2.737942, 671840085.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661647.177894, 2, 2023-02-03 15:42:58, input/dist17, 103.565970, 0.003858, 82.459627, 21.102480, 635031424.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661647.177894, 3, 2023-02-03 15:42:58, input/dist17, 103.565948, 0.003858, 103.561721, 0.000364, 580675998.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661705.134612, 0, 2023-02-03 15:44:08, input/dist17, 42.875765, 0.001319, 42.870544, 0.000599, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661775.186434, 0, 2023-02-03 15:45:20, input/dist17, 130.441301, 0.002231, 31.986394, 98.449579, 249242730.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661775.186434, 1, 2023-02-03 15:45:20, input/dist17, 130.441734, 0.005639, 130.434989, 0.001102, 992533590.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661833.472358, 0, 2023-02-03 15:45:40, input/dist17, 113.300362, 0.000824, 29.941138, 83.355135, 213398802.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661833.472358, 1, 2023-02-03 15:45:40, input/dist17, 113.300797, 0.004395, 59.963875, 53.332521, 356382545.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32661833.472358, 2, 2023-02-03 15:45:40, input/dist17, 113.300301, 0.004392, 31.748824, 81.547081, 181879566.000000, 326.000000, 4041012071702161025841366822394265600.000000, 0, 0
32661833.472358, 3, 2023-02-03 15:45:40, input/dist17, 113.300345, 0.004389, 55.072386, 58.223565, 358028825.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
