index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32661307.109374, 0, 2023-02-03 15:37:09, input/dist17, 41.546843, 0.003605, 41.540381, 0.001107, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661328.394478, 0, 2023-02-03 15:37:46, input/dist17, 76.157500, 0.000362, 26.312572, 49.842890, 213398802.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661328.394478, 1, 2023-02-03 15:37:46, input/dist17, 76.158747, 0.003233, 52.100340, 24.055166, 371861429.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32661328.394478, 2, 2023-02-03 15:37:46, input/dist17, 76.157132, 0.001755, 24.281301, 51.874071, 186635762.000000, 326.000000, 4041012071702161025841366822394265600.000000, 0, 0
32661328.394478, 3, 2023-02-03 15:37:46, input/dist17, 76.157970, 0.002540, 45.537450, 30.617973, 365447551.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32661328.394478, 4, 2023-02-03 15:37:46, input/dist17, 76.157765, 0.002371, 76.154720, 0.000667, 591869922.000000, 312.000000, 4041014150401170559630064955020017664.000000, 0, 0
32661328.394478, 5, 2023-02-03 15:37:46, input/dist17, 76.157984, 0.002436, 73.073125, 3.082416, 580092332.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661328.394478, 6, 2023-02-03 15:37:46, input/dist17, 76.158715, 0.003242, 75.444971, 0.710495, 597755097.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661328.394478, 7, 2023-02-03 15:37:46, input/dist17, 76.158578, 0.003182, 42.171361, 33.984031, 332615004.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661331.897570, 0, 2023-02-03 15:37:58, input/dist17, 88.623307, 0.000668, 28.957160, 59.663329, 234863492.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661331.897570, 1, 2023-02-03 15:37:58, input/dist17, 88.623500, 0.003128, 88.620069, 0.000294, 681517344.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661331.897570, 2, 2023-02-03 15:37:58, input/dist17, 88.623531, 0.003121, 80.601533, 8.018866, 635400635.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661331.897570, 3, 2023-02-03 15:37:58, input/dist17, 88.623467, 0.003121, 73.162757, 15.457580, 582230475.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661304.146040, 0, 2023-02-03 15:38:37, input/dist17, 128.680475, 0.001423, 30.889582, 97.774414, 249242730.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661304.146040, 1, 2023-02-03 15:38:37, input/dist17, 128.680533, 0.002510, 128.663898, 0.000188, 1002203574.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661393.966610, 0, 2023-02-03 15:38:41, input/dist17, 41.439920, 0.000834, 41.435753, 0.000061, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661379.906174, 0, 2023-02-03 15:40:17, input/dist17, 41.294040, 0.001055, 41.290810, 0.000062, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661503.324617, 0, 2023-02-03 15:40:42, input/dist17, 75.526850, 0.000737, 26.725605, 48.797228, 213398802.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661503.324617, 1, 2023-02-03 15:40:42, input/dist17, 75.526716, 0.004154, 47.903399, 27.619156, 371861429.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32661503.324617, 2, 2023-02-03 15:40:42, input/dist17, 75.527239, 0.004484, 24.262970, 51.259777, 186635762.000000, 326.000000, 4041012071702161025841366822394265600.000000, 0, 0
32661503.324617, 3, 2023-02-03 15:40:42, input/dist17, 75.527077, 0.004466, 45.200382, 30.322222, 365447551.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32661503.324617, 4, 2023-02-03 15:40:42, input/dist17, 75.527277, 0.004466, 75.522075, 0.000727, 591869922.000000, 312.000000, 4041014150401170559630064955020017664.000000, 0, 0
32661503.324617, 5, 2023-02-03 15:40:42, input/dist17, 75.527263, 0.004460, 74.616354, 0.906443, 580092332.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661503.324617, 6, 2023-02-03 15:40:42, input/dist17, 75.527520, 0.004461, 72.653322, 2.869729, 597755097.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661503.324617, 7, 2023-02-03 15:40:42, input/dist17, 75.527279, 0.004472, 42.887286, 32.635514, 332615004.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661531.861544, 0, 2023-02-03 15:41:10, input/dist17, 86.501057, 0.000603, 33.934538, 52.562777, 234863492.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32661531.861544, 1, 2023-02-03 15:41:10, input/dist17, 86.501187, 0.004046, 86.496052, 0.001082, 681517344.000000, 312.000000, 4041015140401170817285525737041821696.000000, 0, 0
32661531.861544, 2, 2023-02-03 15:41:10, input/dist17, 86.501157, 0.003883, 80.728112, 5.769154, 635400635.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32661531.861544, 3, 2023-02-03 15:41:10, input/dist17, 86.500591, 0.003202, 72.984371, 13.513011, 582230475.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32661618.347955, 0, 2023-02-03 15:41:48, input/dist17, 42.124670, 0.000674, 42.120959, 0.000057, 324621252.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
