date-time, dist file, computing time (s), best_bound, best_path
2023-02-03 23:48:08,input/dist17,261.030000, 278, 4040110041415090488321711089301585920.000000
2023-02-03 23:51:32,input/dist17,201.240000, 281, 4040216030805131353948364172947357696.000000
2023-02-03 23:52:57,input/dist17,82.090000, 267, 4040316021207170664949164978074550272.000000
2023-02-03 23:56:50,input/dist17,229.090000, 286, 4040414150906110280794222517830025216.000000
2023-02-04 00:00:02,input/dist17,187.820000, 290, 4040513110609151601232921452768919552.000000
2023-02-04 00:03:21,input/dist17,194.840000, 291, 4040609111305080949764477890255126528.000000
2023-02-04 00:07:58,input/dist17,272.950000, 283, 4040712031602170441058555179409866752.000000
2023-02-04 00:10:18,input/dist17,136.170000, 285, 4040805131106091301842481489282859008.000000
2023-02-04 00:13:52,input/dist17,209.200000, 287, 4040906111305080917651555506355961856.000000
2023-02-04 00:14:40,input/dist17,44.740000, 260, 4041001041415090982278754296309743616.000000
2023-02-04 00:18:01,input/dist17,197.790000, 290, 4041106091514040422228010481018208256.000000
2023-02-04 00:19:23,input/dist17,78.840000, 260, 4041207170216030742389442496316833792.000000
2023-02-04 00:22:40,input/dist17,193.620000, 293, 4041305081707120121554545132921946112.000000
2023-02-04 00:26:53,input/dist17,248.980000, 291, 4041415040110171517311905936965632000.000000
2023-02-04 00:31:35,input/dist17,277.430000, 282, 4041514040110171309842328356097359872.000000
2023-02-04 00:34:20,input/dist17,160.740000, 284, 4041602030805131400853329834319806464.000000
2023-02-04 00:36:25,input/dist17,121.810000, 276, 4041707120216030993318858502084493312.000000
2023-02-04 14:39:28,input/dist5,0.000000, 85, 4041001040502.000000
2023-02-04 14:39:34,input/dist15,1.580000, 237, 404100104141509081971682214674432.000000
2023-02-04 14:40:18,input/dist17,41.220000, 260, 4041001041415090982278754296309743616.000000
